name,steam_appid
Fishhead: Blueprint,1386190
SuperTanks,1375220
The Owl Quest,1384500
VR Travelling in the Roman Empire (VR Rome Time machine travel in history),1386530
Hospitality VR,1164750
Microsoft Flight Simulator 40th Anniversary Edition,1250410
BLEACH Brave Souls,1201240
Infected zone 感染之地,1353250
Bricks Frenzy,1384350
Labyrinths of the World: Hearts of the Planet Collector's Edition,1393080
Bound Forest Alpha,1354370
Arabel,1367250
The Informant Chronicles- Chronicle 1: Riverside Danger Part 1,1272200
Gangster Empire: Vendetta,1385480
Rachael Savage,1303630
100 vacas,1335820
Tahul,1370510
Captain Frogger,1381640
Obsolete,1369560
Run For Your Life,1383490
DDNet,412220
Out of Oblivion,1370950
Ever Forward,1220370
Miracle Sudoku,1377260
Chess Knights: Viking Lands,1338980
Bite the Bullet,1075550
RealFlight Trainer Edition,1314820
Teenage Blob,1096060
ZAAM,1128220
Kill It With Fire,1179210
One Way: The Elevator,1347420
Boomerang Fu,965680
The Ambassador: Fractured Timelines,1171660
Double Kick Heroes,589670
Battle Sweeper,1380360
For the People,1146600
Milky Way Prince – The Vampire Star,1302050
Ashley: The Emptiness Inside,1336970
YRek Lost In Portals,1376010
The Revenant Prince,432210
Moose Life,1342740
Breadbox,1383830
AutoLand,1384090
Kebab House,1379150
Sweet House Love,1309440
The Librarian (Special Edition),1364010
Aeloren Tactics,1367950
The Chosen Warriors,610730
UNKNOWN REGION,1048280
Gude! Jump n Run,1360870
Starshot,1364570
Our Way,1383990
PANZER BALL,325260
Critterland,1367880
Space Probes,1309980
Cube Man,1019910
Chupa Chupa VR,1336160
Kaiju Krashers,1369830
Dodo Adventures,1269230
Alpha Command,1008430
MOMO.EXE VR,1363600
Dragon's Eye,830850
Freedom: How I Escaped,1339920
Gurobu,1383850
Adventures in Morality: An Interactive Case Study,1379590
Vidiot Game,1366720
Rise and Fall,1332840
渡劫 x 魔女 ~ Team up with A Magician！,1283210
Lost Potato,1365010
Enter Digiton,1296860
First Snow,1259430
Mushroom Picker Simulator,1370610
Carnage,1340410
Wotheguel,1345050
Space Battle Arena,1360080
Geometric Feel the Beats,1284550
Siege Survival: Gloria Victis Prologue,1362420
Destropolis,1316800
Beat Me!,985940
Lovingly Evil,1247020
Zodiakalik,1386460
Missing Time,1376040
Dream Of Salmon,1366000
Grand Father ISLAND,1385090
Space Mercenary Shooter : Episode 2,1294020
Maxi Pool Masters VR,831250
The search for DEEP loving,1229640
Gun Brothers,514410
Apastron,1264850
Death end re;Quest 2,1266220
Paper Shakespeare: The Legend of Rainbow Hollow,828760
August of August,1380840
Spiritfarer®: Farewell Edition,972660
Zero Tolerance,1257930
Jelly Brawl: Classic,1386040
Battletoads,1244950
Ogre Tale,1124050
Wolf's Gang,1390380
Fake Illusions,1367520
Anomaly Hunter - Prologue,1077740
Chef: A Restaurant Tycoon Game,886900
Occupy Mars: Prologue (2020),1310520
Griefhelm,1125330
Infectious,1302000
DEDstress,1139760
Escaping Hell,1378820
Kármán line: the edge of war,1331120
Gryphon Knight Epic: Definitive Edition,1364430
Kidnapped! A Royal Birthday,1356440
Gleamlight,1199370
Eternal Hope,1162280
Lockdown VR: Kidnapped,1374200
MagicalGirl Mimi,1385830
Heroic Armored Company,1388370
Planet,1044180
Othello Let's Go,1256490
Flying Slime,1361270
A Story In Space,1300050
Rainy Season,1094420
Everything Explosive,1334800
Pre-Shave,1383270
DevLife,1351360
Streamer Life Simulator,1261040
Chronicon,375480
Dread X Collection 2,1380390
Kawaii Memory,1340740
eyeDASH,1383060
Discovery Yard Investigation,1387250
Splinter,1382310
Shell Corp,1240370
Sword Game,1380150
Super Nate Adventure,1370250
Pangea Survival,1204700
Orlando Theme Park VR - Roller Coaster and Rides,1373810
Dispersion,1388150
Samurai Jack: Battle Through Time,1150590
Commissar Catlov,1379470
Casus,1259470
DethKarz,1257910
New Super Lucky's Tale,1038300
ABC: Audioreactive Beat Circle,1350080
Road Z : The Last Drive,1357410
Exo One: Prologue,1375530
Alien Cat 7,1371460
Pendelum,1356380
群星战纪: 最终防卫线 - STARS ERA: THE FINAL DEFENCE,1363090
Bake 'n Switch,1080410
Clowns,1385350
Battletronics,1385690
Mystic Midway: Rest in Pieces,1382890
Kwarn Armada Tactics,1334050
Citadale - The Awakened Spirit,1359970
Shot Up!,1167190
INMOST,938560
梦乡 The Dreamcatcher,1056590
One Line Coloring,1367420
MBHL20,1374820
Project Crimson,1372910
Take That,771530
Bird path,1385960
Touhou MONEY STOCKS SHOPS,1336830
Endless Escape,1362190
The Seeker,638740
Gaia Beyond,788630
Cinnamon fight,871400
Robowork,1385970
BlackJack Math,1341220
Unit 404,1384960
Cyber Attack,1230560
Train Sim World® 2,1282590
Lost Remnant: The End Tides,1380310
Schastye,1392170
Dorky Fork,1203500
Sparkle 4 Tales,1028910
MaryPark St.,1283850
Skitt,1268710
Zoo 2: Animal Park,1352330
Water Rain,1380470
Kooring VR Coding Adventure,1302840
Winds Rhapsody,1390370
Bakery Magnate: Beginning,1373780
Lovely Fox,861030
Void Source,611770
Heroes of Dungeon,1382860
The Call Centre,1384440
Easy puzzle: Animals 2,1388010
Ethereal Enigma,1069760
Lost,1340440
SwordBoy,1288960
Otome the Exorcist,1328910
Shikokushi ~food and sightseeing and beauties~,1379900
Australian Football Coach 2020,1077630
Chess++,1388760
Space Bar at the End of the Galaxy,1382840
Mystery Case Files: The Harbinger Collector's Edition,1400200
The Bonfire 2: Uncharted Shores,1155880
Galactic Trooper Armada,1394490
Anime Jigsaw Puzzles,1391600
Ragdoll Laser Battle,1268000
Stilstand,1282320
Don't Crash - The Political Game,1389270
CROSSFIRE II (AMIGA),1377680
Epic Battles of History,718750
Tour de France 2020,1287590
I'm Russia,1386000
Best Friend Forever,1034850
VR Home,575430
My Exercise,1004330
Wira & Taksa: Against the Master of Gravity,710620
Dragon Spirits : Prologue,1363490
Missile Tank,1350570
Turtle vs. Portal,1379450
Super Marble Brothers,1385760
Hero Hours Contract,1167460
Flatland Vol.2,1293520
Dream Stone 2,1369410
SHEEPO,1281790
Curse Lsland,1390580
Modern Puzzle,1388670
Dust to Dusk,1371770
Astrozombies,1289850
Fateholder Quest,1385570
Lost Century,1381260
Blackjack Championship,1178160
nightmAR Protocol,1377060
Rapture,1090910
The Darkest Island,1363390
Cellular Harvest,1366420
Roll for the Galaxy,893840
Sense - 不祥的预感: A Cyberpunk Ghost Story,1120560
Jessika,1251980
Castle Wonders - A Castle Tale,1390880
Reflect Horizons,1373110
Undead Souls,667170
SkeleToon:forgotten memories,1384740
Swordian Hero,1383930
ANNOYING ball game,1383480
Escape from Skull Dungeon,1379200
Survive Together,940020
Invaders,1387410
Unbeliever,1392670
Gravitaze: One,1383410
Spinodrum,1377350
Spartoi Meadow,1371540
The Horrorscope: Fatal Awakening,1379020
Abyss of Death,1354000
Venkazoid Blast,1386700
Project CARS 3,958400
Vengeful Heart,1101310
MOTHER,1381980
Gladiator Guild Manager: Prologue,1332470
Struggling,1035560
CanCan the Game,1234360
Karen: An Outrage Simulator,1361110
Witcheye,1284950
Ancestors: The Humankind Odyssey,536270
Mosaique Neko Waifus 3,1385730
Wait! Life is beautiful!,680830
My Village Life,1385780
Mr. Prepper: Prologue,1340530
Gadgeteer,746560
Transport INC,936500
A Long Way Down,856990
Control Ultimate Edition,870780
Spirits Abyss,1078200
Love n Dream,1303740
Neither Day nor Night,1167380
Game Of Puzzles: Slavic Mythology,1392130
Yupitergrad 🚀(Virtual Reality Adventure),1352020
Iridium,1014850
